Address,Collateral Value,Liability Value,Health Factor
0x000000000000000000000000000000000000dead,0,0,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x000000000000df8c944e775bde7af50300999282,124192392051052059076,0,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x000000000000df8c944e775bde7af50300999283,0,0,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x000000000002e33d9a86567c6dfe6d92f6777d1e,0,0,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x00000000000747d525e898424e8774f7eb317d00,0,0,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x000000000007d330338c8c9d3b9321e870acc85d,0,0,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x00000000000970375ff38f05eb9d6db32ae40708,0,0,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x00000000007cdeedd7f45c80ce479fff1c4e3791,0,0,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x000000000097432da963a9d18c10763f302b1033,0,0,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x0000000002732779240fe05873611dc4203dfb71,0,0,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x0000000007eebc1bf67261f0147dbe6250b3214d,0,0,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x00000000245a821a3e646b8187636ad09cd9ccb0,0,0,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x0000000068d306b51ae909ce6f56f21dca38251b,89576333151121,1403,63846281647270848182466143977
0x0000000484f2217f1a64eb6d24b5cee446faeae5,0,0,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x0000003004e6951e81863b5e43dd2ab62d829ff5,0,0,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x00000955697ab829e4a42787a9a9ae60166ade29,0,0,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x000072ba5d51098b904a927dde54c22ad480b5b5,0,0,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x0000d1caf70e1e03ed40850a48a8fa4d7ff4a834,13439860828693051,0,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x00018ac5723c95132057902e91d26390c053c327,0,0,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x0003657abb17ede8c28bb40c81d20a6df35c9cb2,0,6512159697796678,0
0x0003657abb17ede8c28bb40c81d20a6df35c9cb3,174973275174314327,97891011483015741,1787429433239358155
0x0006b0a9bf479bc741265073e34fcf646ff0bc90,85627639918203477,0,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x000729f1022cbf699dafc3928b6e92ce2fe33841,0,0,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x00080000158a9930aeb508823103b0a977161c47,0,0,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x000a460f9e5fc39b30976cbf3484d4826941f558,0,0,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x000eab293e332bd6e67018a9150e8807bfac3233,0,0,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x0011ba85bb0191580248595607719b19b12952bb,0,0,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x0030b9f1925408d79be83c7cecfffdbacb638e9b,0,0,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x0034e8411d397c7377c06995565e61846d9af957,2957831424233071490505,886212474574839908534,3337609782182416209
0x004302ff315df99e7a200d3f21bf5b85f747dae9,0,0,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x004cb6c0e4cc57baead9bf7321c6e58bf35a55c4,0,0,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x004f9b9ffdbcc20013cbbf31ab8c06c5178d72a1,24666434369114697,373693191505607,66007181639391989651
0x0055ae46f700bcc53b1b00483d64000d47007200,0,0,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x005b0743d8b2ed646499dc48b64b95e71b8afa42,2646241112024124452,1171138048135469747,2259546700098351029
0x005b0743d8b2ed646499dc48b64b95e71b8afa43,5323653355150547973,2153105672299360019,2472546249653076238
